Locus_tag;Old_locus_tag;Gene_name;Gene_product;Old_gene_product;Protein_ID;Old_protein_ID
EDL933_RS21320;Z4472;yhaB;hypothetical protein;orf, hypothetical protein;WP_000675739.1;AIG70491.1
EDL933_RS21325;Z4473;yhaC;hypothetical protein;hypothetical protein;WP_000484644.1;AIG70492.1
EDL933_RS21340;Z4478;yhaF;5-keto-4-deoxy-D-glucarate aldolase;2-dehydro-3-deoxyglucarate aldolase;WP_001058227.1;AIG70495.1
EDL933_RS21350;Z4480;yhaG;hydrolase;D-galactarate dehydratase;WP_001273776.1;AIG70498.1
EDL933_RS21245;NA;YhaI;DUF805 domain-containing protein;Inner membrane protein YhaI;WP_000384145.1;AIG70476.1
EDL933_RS21250;NA;YhaI;DUF805 domain-containing protein;Inner membrane protein YhaI;WP_001198807.1;AIG70477.1
EDL933_RS21255;NA;YhaJ;LysR family transcriptional regulator;LysR-family transcriptional regulator YhaJ;WP_001041009.1;AIG70478.1
EDL933_RS21260;NA;YhaK;pirin-like protein YhaK;Pirin-like protein YhaK;WP_000633573.1;AIG70479.1
EDL933_RS21265;Z44;YhaL;hypothetical protein;Uncharacterized protein YhaL;WP_000987189.1;AIG70480.1
EDL933_RS21275;Z4463;yhaO;membrane protein;Serine transporter;WP_000401586.1;AIG70482.1
EDL933_RS21285;Z4465;yhaR;reactive intermediate/imine deaminase;Hypothetical protein TdcF in cluster with anaerobic degradation of L-threonine to propionate;WP_000719990.1;AIG70484.1
EDL933_RS21345;Z4479;yhaU;galactarate transporter;D-glucarate permease;WP_000599636.1;AIG70496.1
EDL933_RS21360;Z4482;yhaV;toxin YhaV;Uncharacterized protein yhaV;WP_000347273.1;AIG70500.1
EDL933_RS21665;Z4546;yhbE;EamA family transporter;Permease of the drug/metabolite transporter (DMT) superfamily;WP_000813037.1;AIG70560.1
EDL933_RS21750;Z4564;yhbG;ABC transporter ATP-binding protein;Lipopolysaccharide ABC transporter, ATP-binding protein LptB;WP_000224099.1;AIG70577.1
EDL933_RS21760;Z4566;yhbH;ribosome hibernation promoting factor;Ribosome hibernation protein YhbH;WP_001176599.1;AIG70579.1
EDL933_RS21770;Z4568;yhbJ;RNase adaptor protein RapZ;putative P-loop-containing kinase;WP_000243741.1;AIG70581.1
EDL933_RS21790;Z4573;yhbL;glutamine amidotransferase;Sigma cross-reacting protein 27A;WP_001302019.1;AIG70585.1
EDL933_RS21560;Z4524;yhbM;lipoprotein NlpI;Lipoprotein nlpI precursor;WP_000802080.1;AIG70540.1
EDL933_RS21745;Z4563;yhbN;lipopolysaccharide ABC transporter substrate-binding protein LptA;LptA, protein essential for LPS transport across the periplasm;WP_000669785.1;AIG70576.1
EDL933_RS21505;Z4512;yhbO;glutamine amidotransferase;General stress protein 18;WP_000037608.1;AIG70528.1
EDL933_RS21510;Z4514;yhbP;hypothetical protein;hypothetical protein;WP_000449463.1;AIG70529.1
EDL933_RS21515;Z4516;yhbQ;hypothetical protein;putative endonuclease containing a URI domain;WP_000189317.1;AIG70530.1
EDL933_RS21520;Z4517;yhbS;N-acetyltransferase;Acetyltransferase;WP_000908554.1;AIG70531.1
EDL933_RS21525;Z4518;yhbT;SCP2 domain-containing protein;Putative lipid carrier protein;WP_001295552.1;AIG70532.1
EDL933_RS21530;Z4519;yhbU;collagenase;Putative protease;WP_000421305.1;AIG70534.1
EDL933_RS21535;Z4520;yhbV;U32 family peptidase;Putative protease;WP_001297426.1;AIG70535.1
EDL933_RS21540;Z4521;yhbW;hypothetical protein;Luciferase-like monooxygenase;WP_000130357.1;AIG70536.1
EDL933_RS21610;Z4535;yhbX;phosphate starvation-inducible protein PsiE;Outer-membrane protein yhbX precursor;WP_001302820.1;AIG70550.1
EDL933_RS21645;Z4542;yhbY;RNA-binding protein;RNA binding protein;WP_001054420.1;AIG70556.1
EDL933_RS21660;Z4545;yhbZ;GTPase ObgE;GTP-binding protein Obg;WP_000673572.1;AIG70559.1
EDL933_RS21880;Z4592;yhcB;hypothetical protein;Putative cytochrome d ubiquinol oxidase subunit III (Cytochrome bd-I oxidase subunit III);WP_001295270.1;AIG70603.1
EDL933_RS21800;Z4575;yhcC;TIGR01212 family radical SAM protein;putative Fe-S oxidoreductase;WP_001299745.1;AIG70587.1
EDL933_RS21815;Z4578;yhcG;hypothetical protein;Putative uncharacterized protein YhcG;WP_000445155.1;AIG70590.1
EDL933_RS21820;Z4579;yhcH;hypothetical protein;Putative sugar isomerase involved in processing of exogenous sialic acid;WP_000979870.1;AIG70591.1
EDL933_RS21830;Z4581;yhcJ;N-acetylmannosamine-6-phosphate 2-epimerase;N-acetylmannosamine-6-phosphate 2-epimerase;WP_001301938.1;AIG70593.1
EDL933_RS21845;Z4584;yhcK;transcriptional regulator NanR;Transcriptional regulator NanR;WP_000523844.1;AIG70596.1
EDL933_RS21875;Z4591;yhcM;cell division protein ZapE;ATPase, AFG1 family;WP_001192332.1;AIG70602.1
EDL933_RS21905;Z4597;yhcN;membrane protein;putative exported protein;WP_000695690.1;AIG70608.1
EDL933_RS21910;Z4598;yhcO;barnase inhibitor;putative ribonuclease inhibitor;WP_001029013.1;AIG70609.1
EDL933_RS21915;Z4599;yhcP;p-hydroxybenzoic acid efflux pump subunit AaeB;Fusaric acid resistance protein FusB;WP_000350958.1;AIG70610.1
EDL933_RS21920;Z4600;yhcQ;p-hydroxybenzoic acid efflux pump subunit AaeA;Fusaric acid resistance protein fusE;WP_000854038.1;AIG70611.1
EDL933_RS21975;Z4611;yhdA;RNase E specificity factor CsrD;Putative lipoprotein;WP_001241410.1;AIG70621.1
EDL933_RS21950;Z4606;yhdE;septum formation inhibitor Maf;Septum formation protein Maf;WP_000203107.1;AIG70617.1
EDL933_RS22025;Z4620;yhdG;tRNA dihydrouridine synthase DusB;tRNA dihydrouridine synthase B;WP_001219652.1;AIG70630.1
EDL933_RS21980;Z4612;yhdH;acrylyl-CoA reductase AcuI;YhdH, a putative quinone oxidoreductase;WP_001148478.1;AIG70622.1
EDL933_RS22190;Z4662;yhdM;heavy metal-responsive transcriptional regulator;HTH-type transcriptional regulator zntR;WP_000285607.1;AIG70657.1
EDL933_RS22195;Z4663;yhdN;hypothetical protein;Putative cytoplasmic protein;WP_000266488.1;AIG70658.1
EDL933_RS22010;Z4617;yhdT;membrane protein;Membrane protein;WP_000381170.1;AIG70627.1
EDL933_RS22060;Z4628;yhdV;membrane protein;putative lipoprotein;WP_000825639.1;AIG70638.1
EDL933_RS22070;Z4629;yhdW;amino acid ABC transporter substrate-binding protein;Glutamate Aspartate periplasmic binding protein precursor GltI;WP_000738579.1;AIG70640.1
EDL933_RS22075;Z4630;yhdX;amino acid ABC transporter permease;Glutamate Aspartate transport system permease protein GltJ;WP_000019652.1;AIG70641.1
EDL933_RS22080;Z4631;yhdY;amino acid ABC transporter permease;Glutamate Aspartate transport system permease protein GltK;WP_001302908.1;AIG70642.1
EDL933_RS22085;Z4632;yhdZ;ABC transporter ATP-binding protein;amino acid ABC transporter, ATP-binding protein;WP_000078338.1;AIG70643.1
EDL933_RS22355;Z4696;yheA;bacterioferritin-associated ferredoxin;Bacterioferritin-associated ferredoxin;WP_000289090.1;AIG70689.1
EDL933_RS22380;Z4701;yheL;sulfurtransferase TusB;tRNA 5-methylaminomethyl-2-thiouridine synthase TusB;WP_000903376.1;AIG70694.1
EDL933_RS22385;Z4702;yheM;sulfurtransferase TusC;tRNA 5-methylaminomethyl-2-thiouridine synthase TusC;WP_000820735.1;AIG70695.1
EDL933_RS22390;Z4703;yheN;sulfurtransferase TusD;tRNA 5-methylaminomethyl-2-thiouridine synthase TusD;WP_001209704.1;AIG70696.1
EDL933_RS22395;Z4704;yheO;hypothetical protein;YheO-like PAS domain;WP_000091472.1;AIG70697.1
EDL933_RS22425;Z4712;yheR;glutathione-regulated potassium-efflux system ancillary protein KefG;Glutathione-regulated potassium-efflux system ancillary protein KefG;WP_001297514.1;AIG70703.1
EDL933_RS22430;Z4713;yheS;ABC transporter ATP-binding protein;Glutathione-regulated potassium-efflux system ATP-binding protein;WP_000634798.1;AIG70704.1
EDL933_RS22435;Z4714;yheT;hydrolase;Hydrolase, alpha/beta fold family functionally coupled to Phosphoribulokinase;WP_000057377.1;AIG70705.1
EDL933_RS22440;Z4715;yheU;hypothetical protein;hypothetical protein;WP_000907085.1;AIG70706.1
EDL933_RS22450;Z4717;yhfA;hypothetical protein;OsmC/Ohr family protein;WP_001148908.1;AIG70708.1
EDL933_RS22495;Z4725;yhfC;MFS transporter;TsgA-like protein;WP_000185243.1;AIG70717.1
EDL933_RS22485;Z4723;yhfG;antitoxin;hypothetical protein;WP_000736862.1;AIG70714.1
EDL933_RS22465;Z4719;yhfK;membrane protein;hypothetical protein;WP_001295162.1;AIG70710.1
EDL933_RS22520;Z4730;yhfL;lipoprotein;putative outer membrane lipoprotein;WP_001031834.1;AIG70722.1
EDL933_RS22525;Z4731;yhfM;fructoselysine transporter;Fructoselysine transporter FrlA, cationic amino acid permease;WP_010904921.1;AIG70724.1
EDL933_RS22530;Z4732;yhfN;fructoselysine 6-phosphate deglycase;Fructoselysine 6-phosphate deglycase;WP_001301824.1;AIG70725.1
EDL933_RS22550;Z4736;yhfR;transcriptional regulator;Transcriptional regulator of fructoselysine utilization operon FrlR;WP_001302327.1;AIG70729.1
EDL933_RS22695;Z4766;yhgA;transposase;Uncharacterized protein YfaD;WP_000039084.1;AIG70760.1
EDL933_RS22645;Z4756;yhgE;DUF4153 domain-containing protein;Putative transport protein;WP_000370883.1;AIG70749.1
EDL933_RS22675;Z4762;yhgF;transcription accessory protein;Transcription accessory protein (S1 RNA-binding domain);WP_000980687.1;AIG70755.1
EDL933_RS22690;Z4765;yhgG;ferrous iron transporter C;Ferrous iron-sensisng transcriptional regulator FeoC;WP_000157586.1;AIG70759.1
EDL933_RS22710;Z4769;yhgI;Fe-S biogenesis protein NfuA;NfuA Fe-S protein maturation;WP_000619389.1;AIG70764.1
EDL933_RS22825;Z4798;yhgN;membrane protein;Multiple antibiotic resistance protein marC;WP_001002544.1;AIG70788.1
EDL933_RS22905;Z4815;yhhA;membrane protein;hypothetical protein;WP_000825994.1;AIG70800.1
EDL933_RS23005;Z4839;yhhF;16S rRNA methyltransferase;16S rRNA (guanine(966)-N(2))-methyltransferase;WP_000743199.1;AIG70823.1
EDL933_RS23175;Z4873;yhhG;nickel-responsive regulator;Nickel responsive regulator NikR;WP_001190062.1;AIG70857.1
EDL933_RS23225;Z4884;yhhJ;transporter;Putative transporter;WP_001301659.1;AIG70866.1
EDL933_RS22965;Z4831;yhhK;hypothetical protein;putative acetyltransferase;WP_000778769.1;AIG70815.1
EDL933_RS23010;Z4840;yhhL;membrane protein;Putative inner membrane protein;WP_001295207.1;AIG70824.1
EDL933_RS23015;Z4841;yhhM;hypothetical protein;Putative receptor;WP_000042873.1;AIG70825.1
EDL933_RS23020;Z4842;yhhN;lysoplasmalogenase;putative enzyme yhhN;WP_000964730.1;AIG70826.1
EDL933_RS23030;Z4844;yhhP;sulfurtransferase TusA;tRNA 5-methylaminomethyl-2-thiouridine synthase TusA;WP_000130621.1;AIG70828.1
EDL933_RS23035;Z4845;yhhQ;hypothetical protein;Putative preQ0 transporter;WP_001100467.1;AIG70829.1
EDL933_RS23050;Z4848;yhhT;pheromone autoinducer 2 transporter;Putative PerM family permease;WP_001300885.1;AIG70832.1
EDL933_RS22870;Z4807;yhhW;quercetin 2,3-dioxygenase;Qercetin 2,3-dioxygenase;WP_000639806.1;AIG70795.1
EDL933_RS22875;Z4808;yhhX;dehydrogenase;Putative oxidoreductase;WP_000236317.1;AIG70796.1
EDL933_RS22885;Z4809;yhhY;N-acetyltransferase;Putative acetyltransferase;WP_001301731.1;AIG70797.1
EDL933_RS23400;Z4920;yhiD;magnesium transporter ATPase;Mg(2+) transport ATPase protein C;WP_001296814.1;AIG70903.1
EDL933_RS23420;Z4925;yhiE;transcriptional regulator GadE;Transcriptional activator GadE;WP_000576690.1;AIG70907.1
EDL933_RS23350;Z4909;yhiF;helix-turn-helix transcriptional regulator;Transcriptional regulator, ArsR family;WP_000478621.1;AIG70891.1
EDL933_RS23230;Z4885;yhiH;ABC transporter ATP-binding protein/permease;ABC-type multidrug transport system, permease component;WP_000149107.1;AIG70867.1
EDL933_RS23235;Z4886;yhiI;membrane protein;Putative membrane protein;WP_000361458.1;AIG70868.1
EDL933_RS23240;Z4887;yhiJ;hypothetical protein;hypothetical protein;WP_001301985.1;AIG70870.1
EDL933_RS23260;Z4890;yhiM;hypothetical protein;hypothetical protein;WP_001028905.1;AIG70872.1
EDL933_RS23270;Z4891;yhiN;membrane protein;NAD(FAD)-utilizing dehydrogenases;WP_000439193.1;AIG70874.1
EDL933_RS23280;Z4894;yhiO;universal stress protein B;Universal stress protein B;WP_000626187.1;AIG70876.1
EDL933_RS23290;Z4896;yhiP;MFS transporter;Di/tripeptide permease DtpB;WP_001098662.1;AIG70879.1
EDL933_RS23295;Z4897;yhiQ;ribosomal RNA small subunit methyltransferase J;hypothetical protein;WP_000686620.1;AIG70880.1
EDL933_RS23305;Z4899;yhiR;23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ;Protein involved in catabolism of external DNA;WP_001301854.1;AIG70882.1
EDL933_RS23430;Z4926;yhiU;multidrug resistance protein MdtE;Membrane fusion protein of RND family multidrug efflux pump;WP_001082000.1;AIG70909.1
EDL933_RS23435;Z4927;yhiV;multidrug efflux RND transporter permease subunit;RND efflux system, inner membrane transporter CmeB;WP_000024883.1;AIG70910.1
EDL933_RS23440;Z4928;yhiW;transcriptional regulator;HTH-type transcriptional regulator gadW;WP_000149999.1;AIG70911.1
EDL933_RS23445;Z4929;yhiX;transcriptional regulator;HTH-type transcriptional regulator gadX;WP_001191074.1;AIG70912.1
EDL933_RS23455;Z4931;yhjA;cytochrome-c peroxidase;Cytochrome c551 peroxidase;WP_000784815.1;AIG70915.1
EDL933_RS23465;Z4933;yhjB;helix-turn-helix transcriptional regulator;Putative regulator;WP_001167672.1;AIG70918.1
EDL933_RS23470;Z4934;yhjC;LysR family transcriptional regulator;LysR family transcriptional regulator YhjC;WP_001412012.1;AIG70919.1
EDL933_RS23475;Z4935;yhjD;inner membrane protein YhjD;Inner membrane protein YhjD;WP_000191257.1;AIG70920.1
EDL933_RS23480;Z4936;yhjE;MFS transporter;Inner membrane metabolite transport protein YhjE;WP_001149004.1;AIG70921.1
EDL933_RS23485;Z4937;yhjG;hypothetical protein;Uncharacterized protein YhjG;WP_001301546.1;AIG70922.1
EDL933_RS23490;Z4939;yhjH;cyclic-guanylate-specific phosphodiesterase;GGDEF/EAL domain protein YhjH;WP_001302384.1;AIG70923.1
EDL933_RS23505;Z4941;yhjJ;peptidase M16;Protein YhjJ, putative peptidase;WP_001163137.1;AIG70925.1
EDL933_RS23515;Z4943;yhjK;phosphodiesterase;Protein yhjK;WP_001449240.1;AIG70928.1
EDL933_RS23530;Z4946;yhjM;endoglucanase;Endoglucanase precursor;WP_001302749.1;AIG70931.1
EDL933_RS23535;Z4947;yhjN;cyclic di-GMP-binding protein;Cyclic di-GMP binding protein precursor;WP_001302734.1;AIG70932.1
EDL933_RS23545;NA;YhjQ;cellulose synthase operon protein YhjQ;NA;NA;NA
EDL933_RS23555;Z4951;yhjR;hypothetical protein;Putative cytoplasmic protein;WP_001063316.1;AIG70934.1
EDL933_RS23560;Z4952;yhjS;cellulose biosynthesis protein BcsE;hypothetical protein;WP_001301835.1;AIG70935.1
EDL933_RS23565;Z4953;yhjT;protein BcsF;putative inner membrane protein;WP_000988308.1;AIG70936.1
EDL933_RS23570;Z4954;yhjU;membrane protein;putative inner membrane protein;WP_000191596.1;AIG70937.1
EDL933_RS23585;Z4956;yhjV;transporter;Serine transporter;WP_001301684.1;AIG70940.1
EDL933_RS23660;Z4972;yhjX;MFS transporter;Putative resistance protein;WP_000189014.1;AIG70953.1
EDL933_RS23665;Z4973;yhjY;hypothetical protein;Putative lipase;WP_000584472.1;AIG70954.1
EDL933_RS23735;Z4987;yiaA;hypothetical protein;Inner membrane protein YiaA;WP_001296808.1;AIG70968.1
EDL933_RS23740;Z4988;yiaB;hypothetical protein;Inner membrane protein YiaB;WP_000858193.1;AIG70969.1
EDL933_RS23675;Z4975;yiaC;N-acetyltransferase;Acetyltransferase;WP_000617490.1;AIG70956.1
EDL933_RS23685;Z4977;yiaD;lipoprotein;Outer membrane protein A precursor;WP_000747625.1;AIG70958.1
EDL933_RS23695;Z4979;yiaF;DUF3053 domain-containing protein;putative exported protein;WP_000190516.1;AIG70960.1
EDL933_RS23700;Z4980;yiaG;transcriptional regulator;hypothetical protein;WP_000455798.1;AIG70961.1
EDL933_RS23730;Z4986;yiaH;O-acetyltransferase;Inner membrane protein YiaH;WP_001182646.1;AIG70967.1
EDL933_RS23795;Z4998;yiaI;electron transporter;Electron transport protein HydN;WP_001296790.1;AIG70979.1
EDL933_RS23815;Z5003;yiaT;outer membrane protein;Putative outer membrane protein yiaT precursor;WP_000906806.1;AIG70983.1
EDL933_RS23820;Z5004;yiaU;LysR family transcriptional regulator;LysR family transcriptional regulator YiaU;WP_000164025.1;AIG70984.1
EDL933_RS23825;Z5006;yiaV;membrane protein;Multidrug resistance protein A;WP_000364872.1;AIG70985.1
EDL933_RS23830;Z5007;yiaW;hypothetical protein;GTPase;WP_000478195.1;AIG70986.1
EDL933_RS23850;Z5010;yiaY;L-threonine dehydrogenase;Alcohol dehydrogenase;WP_000168711.1;AIG70990.1
EDL933_RS23990;Z5042;yibD;glycosyltransferase;Beta-1,3-galactosyltransferase;NA;AIG71020.1
EDL933_RS23865;Z5013;yibF;glutathione S-transferase;putative GST-like protein yibF;WP_000779800.1;AIG70993.1
EDL933_RS23875;Z5018;yibG;hypothetical protein;hypothetical protein;WP_000642480.1;AIG70996.1
EDL933_RS23885;Z5021;yibH;hypothetical protein;Multidrug resistance protein A;WP_000364939.1;AIG70998.1
EDL933_RS23945;Z5033;yibK;tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL;tRNA (cytidine(34)-2'-O)-methyltransferase;WP_000932342.1;AIG71011.1
EDL933_RS23915;Z5026;yibL;DUF2810 domain-containing protein;hypothetical protein;WP_000665680.1;AIG71005.1
EDL933_RS23970;Z5038;yibN;rhodanese-like domain-containing protein;Rhodanese-related sulfurtransferase;WP_001156181.1;AIG71016.1
EDL933_RS23975;Z5039;yibO;2,3-bisphosphoglycerate-independent phosphoglycerate mutase;2,3-bisphosphoglycerate-independent phosphoglycerate mutase;WP_000116565.1;AIG71017.1
EDL933_RS23980;Z5040;yibP;murein hydrolase activator EnvC;Periplasmic septal ring factor with murein hydrolase activity EnvC/YibP;WP_001214147.1;AIG71018.1
EDL933_RS23985;Z5041;yibQ;hypothetical protein;Putative periplasmic protein YibQ;WP_000483856.1;AIG71019.1
EDL933_RS24120;Z5069;yicC;hypothetical protein;Protein YicC;WP_000621336.1;AIG71046.1
EDL933_RS24175;Z5082;yicE;xanthine permease XanP;Xanthine permease;WP_001295238.1;AIG71059.1
EDL933_RS24130;Z5071;yicG;hypothetical protein;Putative inner membrane protein;WP_000924289.1;AIG71049.1
EDL933_RS24180;Z5083;yicH;hypothetical protein;Putative exported protein;WP_001301814.1;AIG71060.1
EDL933_RS24185;Z5084;yicI;alpha-xylosidase;Alpha-xylosidase;WP_000702966.1;AIG71061.1
EDL933_RS24485;Z5146;yicL;EamA family transporter;hypothetical protein;WP_000535951.1;AIG71121.1
EDL933_RS24525;Z5152;yicN;DUF1198 domain-containing protein;putative membrane protein;WP_001295241.1;AIG71127.1
EDL933_RS24535;Z5155;yicP;adenine deaminase;Adenine deaminase;WP_001065705.1;AIG71130.1
EDL933_RS24705;Z5188;yidA;sugar-phosphatase;Phosphatase YidA;WP_000985542.1;AIG71161.1
EDL933_RS24710;Z5189;yidB;hypothetical protein;hypothetical protein;WP_010904953.1;AIG71162.1
EDL933_RS20860;Z4382;YidC;protein translocase component YidC;Putative iron compound-binding protein of ABC transporter family;WP_001301797.1;AIG70401.1
EDL933_RS24755;Z5197;yidC;membrane protein insertase YidC;Inner membrane protein translocase component YidC, long form;WP_000378258.1;AIG71170.1
EDL933_RS24750;NA;YidD;membrane protein insertion efficiency factor YidD;NA;WP_001303730.1;NA
EDL933_RS24665;NA;YidE;transporter;Mediator of hyperadherence YidE;WP_001279752.1;AIG71152.1
EDL933_RS24615;Z5169;yidF;transcriptional regulator;Putative transcriptional regulator;WP_000148051.1;AIG71142.1
EDL933_RS24620;Z5170;yidG;hypothetical protein;Putative inner membrane protein;WP_001113432.1;AIG71143.1
EDL933_RS24625;Z5171;yidH;hypothetical protein;Putative inner membrane protein;WP_000703959.1;AIG71144.1
EDL933_RS24630;Z5172;yidI;hypothetical protein;hypothetical protein;WP_000511301.1;AIG71145.1
EDL933_RS24635;Z5173;yidJ;sulfatase;Choline-sulfatase;WP_000828465.1;AIG71146.1
EDL933_RS24640;Z5174;yidK;solute:sodium symporter family transporter;Sodium-Choline Symporter;WP_001087120.1;AIG71147.1
EDL933_RS24645;Z5175;yidL;AraC family transcriptional regulator;putative transcriptional regulator yidL;WP_001301844.1;AIG71148.1
EDL933_RS24660;Z5179;yidP;transcriptional regulator;HTH-type transcriptional regulator YidP;WP_001301657.1;AIG71151.1
EDL933_RS24685;NA;YidQ;membrane protein;Outer membrane lipoprotein YidQ;WP_001313407.1;AIG71157.1
EDL933_RS24690;Z5185;yidR;hypothetical protein;Uncharacterized protein YidR;WP_001412032.1;AIG71158.1
EDL933_RS24695;NA;YidS;protein CbrA;Uncharacterized protein YidS;WP_001302380.1;AIG71159.1
EDL933_RS24790;Z5205;yidY;multidrug resistance protein MdtL;Putative transport protein;WP_000086017.1;AIG71175.1
EDL933_RS24795;Z5206;yidZ;transcriptional regulator;Putative LysR-family transcriptional regulator YidZ;WP_000748496.1;AIG71176.1
EDL933_RS24800;Z5207;yieE;hypothetical protein;hypothetical protein;WP_001302247.1;AIG71177.1
EDL933_RS24805;Z5208;yieF;chromate reductase;Putative oxidoreductase;WP_001291268.1;AIG71178.1
EDL933_RS24810;Z5209;yieG;adenine permease;Xanthine/uracil/thiamine/ascorbate permease family protein;WP_001301685.1;AIG71179.1
EDL933_RS24815;Z5210;yieH;6-phosphogluconate phosphatase;Putative phosphatase YieH;WP_000078064.1;AIG71180.1
EDL933_RS25035;Z5255;yieO;MFS transporter;Permeases of the major facilitator superfamily;WP_001280821.1;AIG71223.1
EDL933_RS25040;Z5258;yieP;transcriptional regulator;Transcriptional regulator, GntR family;WP_001131164.1;AIG71224.1
EDL933_RS25085;Z5277;yifB;ATP-dependent protease;Mg(2+) Chelatase family protein;WP_000058995.1;AIG71227.1
EDL933_RS25080;Z5276;yifE;hypothetical protein;Protein yifE;WP_000841001.1;AIG71226.1
EDL933_RS25235;Z5307;yifK;transporter;putative transport protein YifK;WP_000774731.1;AIG71255.1
EDL933_RS25320;Z5327;yigA;DUF484 family protein;Protein of unknown function DUF484;WP_000812807.1;AIG71268.1
EDL933_RS25330;Z5329;yigB;flavin mononucleotide phosphatase;2-haloalkanoic acid dehalogenase;WP_001213567.1;AIG71270.1
EDL933_RS25490;Z5364;yigC;3-octaprenyl-4-hydroxybenzoate decarboxylase;3-polyprenyl-4-hydroxybenzoate carboxy-lyase;WP_000339792.1;AIG71302.1
EDL933_RS25400;Z5344;yigJ;threonine export protein RhtC;L-lysine permease;WP_000928824.1;AIG71284.1
EDL933_RS25405;Z5345;yigK;homoserine/homoserine lactone efflux protein;Homoserine/homoserine lactone efflux protein;WP_000171710.1;AIG71285.1
EDL933_RS25445;Z5354;yigN;DNA recombination protein RmuC;DNA recombination protein RmuC;WP_000347714.1;AIG71293.1
EDL933_RS25455;Z5356;yigP;SCP2 domain-containing protein;Protein YigP clustered with ubiquinone biosynthetic genes;WP_001301634.1;AIG71295.1
EDL933_RS25460;Z5357;yigR;ubiquinone biosynthesis protein UbiB;Ubiquinone biosynthesis monooxygenase UbiB;WP_000187530.1;AIG71296.1
EDL933_RS25515;Z5370;yigZ;YigZ family protein;protein co-occurring with transport systems;WP_001295262.1;AIG71307.1
EDL933_RS28575;NA;YihA;hypothetical protein;YihA;WP_000766796.1;AIG71888.1
EDL933_RS25565;Z5390;yihD;hypothetical protein;Protein yihD;WP_001295263.1;AIG71312.1
EDL933_RS25570;Z5391;yihE;stress response kinase A;YihE protein, a ser/thr kinase implicated in LPS synthesis and Cpx signaling;WP_001065516.1;AIG71313.1
EDL933_RS25580;Z5393;yihF;hypothetical protein;Putative GTP-binding protein;WP_001301687.1;AIG71316.1
EDL933_RS25605;Z5402;yihI;GTPase-activating protein;Protein of unknown function DUF414;WP_001301646.1;AIG71323.1
EDL933_RS25640;Z5407;yihK;GTP-binding protein TypA;GTP-binding protein TypA/BipA;WP_000570668.1;AIG71329.1
EDL933_RS25645;Z5408;yihL;transcriptional regulator;putative transcriptional regulator yihL;WP_000829798.1;AIG71330.1
EDL933_RS25650;Z5409;yihM;hypothetical protein;hypothetical protein;WP_000256391.1;AIG71331.1
EDL933_RS25655;Z5410;yihN;MFS transporter;Putative resistance protein;WP_000956328.1;AIG71332.1
EDL933_RS25665;Z5412;yihO;permease;Glucuronide transport protein YihO;WP_001279690.1;AIG71334.1
EDL933_RS25670;Z5413;yihP;permease;Glucuronide transport protein YihP, YihO-like protein;WP_000018366.1;AIG71335.1
EDL933_RS25675;Z5414;yihQ;alpha-glucosidase;Alpha-glucosyltransferase YihQ;WP_000380861.1;AIG71336.1
EDL933_RS25685;Z5416;yihR;aldose 1-epimerase;Sugar-1-epimerase YihR;WP_001167549.1;AIG71338.1
EDL933_RS25690;Z5417;yihS;AGE family epimerase/isomerase;Aldose-ketose isomerase YihS;WP_000870913.1;AIG71339.1
EDL933_RS25695;Z5418;yihT;sulfofructosephosphate aldolase;Aldolase YihT;WP_001046461.1;AIG71340.1
EDL933_RS25700;Z5420;yihU;dehydrogenase;Oxidoreductase YihU;WP_000718899.1;AIG71341.1
EDL933_RS25705;Z5421;yihV;ribokinase;Fructokinase;WP_000621641.1;AIG71342.1
EDL933_RS25710;Z5422;yihW;DeoR family transcriptional regulator;DeoR-type transcriptional regulator YihW;WP_000059678.1;AIG71343.1
EDL933_RS25725;Z5426;yihZ;D-aminoacyl-tRNA deacylase;D-tyrosyl-tRNA(Tyr) deacylase;WP_000560983.1;AIG71346.1
EDL933_RS25730;Z5427;yiiD;GNAT family N-acetyltransferase;galactoside O-acetyltransferase, probable YiiD;WP_001297068.1;AIG71347.1
EDL933_RS25755;Z5431;yiiE;hypothetical protein;hypothetical protein;WP_001295676.1;AIG71351.1
EDL933_RS25760;Z5432;yiiF;hypothetical protein;hypothetical protein;WP_001086384.1;AIG71352.1
EDL933_RS25800;Z5439;yiiG;hypothetical protein;hypothetical protein;WP_001301617.1;AIG71360.1
EDL933_RS25830;Z5445;yiiL;L-rhamnose mutarotase;L-rhamnose mutarotase;WP_000619508.1;AIG71366.1
EDL933_RS25905;Z5459;yiiP;cation-efflux pump FieF;Cobalt-zinc-cadmium resistance protein;WP_001076742.1;AIG71382.1
EDL933_RS25935;Z5465;yiiQ;hypothetical protein;Putative uncharacterized protein YiiQ;WP_000802226.1;AIG71388.1
EDL933_RS25940;Z5466;yiiR;DUF805 domain-containing protein;Putative membrane protein;WP_000155257.1;AIG71389.1
EDL933_RS25945;Z5467;yiiS;hypothetical protein;hypothetical protein;WP_000655986.1;AIG71390.1
EDL933_RS25950;Z5468;yiiT;universal stress protein D;Universal stress protein D;WP_000323555.1;AIG71391.1
EDL933_RS25975;Z5473;yiiU;cell division protein ZapB;Putative cytoplasmic protein;WP_001295521.1;AIG71396.1
